cell_id,donor,condition,tissue,truth_cell_type,truth_state,nCount_RNA,nFeature_RNA,percent.mt,clonotype
Cell0120,D3,Control,Blood,NK,Cytotoxic,100,52,3.66,
Cell0121,D1,Control,Tumor,NK,Cytotoxic,85,50,2.69,
Cell0122,D2,Control,Tumor,NK,Cytotoxic,170,71,4.8,
Cell0123,D4,Treatment,Tumor,CD4_T,Exhaustion_assoc,192,77,5.75,clonotype_A
Cell0124,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,257,93,6.7,clonotype_G
Cell0125,D6,Treatment,Tumor,CD4_T,Cytotoxic,196,85,4.96,clonotype_C
Cell0126,D2,Control,Blood,CD8_T,Naive_memory,195,69,5.2,unique_85879
Cell0127,D5,Treatment,Tumor,CD8_T,Naive_memory,171,68,1.87,unique_42510
Cell0128,D1,Control,Blood,CD4_T,Naive_memory,186,63,5.28,unique_15934
Cell0129,D5,Treatment,Tumor,CD4_T,Cytotoxic,360,99,5.48,clonotype_E
Cell0130,D3,Control,Blood,NK,Cytotoxic,166,75,4.96,
Cell0131,D3,Control,Tumor,CD4_T,Cytotoxic,128,63,2.78,unique_21164
Cell0132,D5,Treatment,Tumor,Monocyte,Other,197,86,3.5,
Cell0133,D3,Control,Tumor,NK,Cytotoxic,129,63,4.35,
Cell0134,D5,Treatment,Tumor,CD8_T,Cytotoxic,126,51,4.64,clonotype_D
Cell0135,D4,Treatment,Blood,NK,Cytotoxic,206,71,6.68,
Cell0136,D6,Treatment,Tumor,CD4_T,Cytotoxic,180,73,2.06,clonotype_C
Cell0137,D4,Treatment,Blood,Monocyte,Other,140,72,8.9,
Cell0138,D2,Control,Blood,CD8_T,Cytotoxic,229,79,2.51,unique_10068
Cell0139,D5,Treatment,Blood,B,Other,88,55,5.84,
Cell0140,D3,Control,Blood,CD4_T,Naive_memory,185,73,6.39,unique_19085
Cell0141,D4,Treatment,Blood,CD8_T,Naive_memory,288,94,5.73,clonotype_E
Cell0142,D1,Control,Tumor,CD8_T,Exhaustion_assoc,147,67,25.75,clonotype_C
Cell0143,D1,Control,Tumor,Monocyte,Other,84,53,8.17,
Cell0144,D4,Treatment,Tumor,NK,Cytotoxic,118,59,5.11,
Cell0145,D2,Control,Blood,CD8_T,Cytotoxic,146,58,1.26,clonotype_F
Cell0146,D6,Treatment,Blood,CD8_T,Exhaustion_assoc,208,79,3.22,unique_54421
Cell0147,D6,Treatment,Blood,CD8_T,Cytotoxic,169,67,28.61,unique_68598
Cell0148,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,120,60,9.78,clonotype_A
Cell0149,D5,Treatment,Tumor,CD8_T,Cytotoxic,214,85,26.73,clonotype_A
Cell0150,D4,Treatment,Blood,CD4_T,Naive_memory,172,69,24.49,clonotype_G
Cell0151,D1,Control,Tumor,Monocyte,Other,182,74,2.53,
Cell0152,D3,Control,Blood,Monocyte,Other,175,65,5.48,
Cell0153,D3,Control,Blood,CD4_T,Naive_memory,199,83,6.94,unique_77421
Cell0154,D6,Treatment,Blood,NK,Cytotoxic,112,52,3.01,
Cell0155,D2,Control,Blood,CD4_T,Cytotoxic,394,118,7.62,unique_21297
Cell0156,D3,Control,Tumor,NK,Cytotoxic,150,74,1.7,
Cell0157,D3,Control,Tumor,CD8_T,Exhaustion_assoc,89,55,4.57,unique_22616
Cell0158,D1,Control,Blood,NK,Cytotoxic,162,76,7.85,
Cell0159,D1,Control,Tumor,B,Other,155,76,6.46,
Cell0160,D3,Control,Tumor,B,Other,204,86,0.5,
Cell0161,D1,Control,Tumor,CD4_T,Cytotoxic,115,56,3.65,clonotype_D
Cell0162,D1,Control,Tumor,Monocyte,Other,95,60,5.81,
Cell0163,D3,Control,Blood,CD4_T,Naive_memory,255,93,3.47,unique_64362
Cell0164,D2,Control,Tumor,CD4_T,Cytotoxic,134,67,2.87,unique_55847
Cell0165,D4,Treatment,Blood,NK,Cytotoxic,84,45,4.63,
Cell0166,D1,Control,Tumor,CD8_T,Naive_memory,143,66,5.78,unique_25810
Cell0167,D2,Control,Blood,Monocyte,Other,101,56,1.66,
Cell0168,D3,Control,Tumor,B,Other,152,77,2.51,
Cell0169,D6,Treatment,Blood,CD8_T,Naive_memory,158,77,4.01,clonotype_G
Cell0170,D4,Treatment,Blood,Monocyte,Other,128,66,3.14,
Cell0171,D6,Treatment,Tumor,CD8_T,Naive_memory,154,69,6.94,unique_43780
Cell0172,D3,Control,Tumor,CD8_T,Exhaustion_assoc,148,61,3.72,clonotype_E
Cell0173,D3,Control,Blood,CD4_T,Naive_memory,209,78,6.42,unique_50130
Cell0174,D3,Control,Tumor,Monocyte,Other,105,61,2.87,
Cell0175,D6,Treatment,Tumor,CD4_T,Exhaustion_assoc,116,57,7.46,clonotype_A
Cell0176,D6,Treatment,Blood,CD4_T,Cytotoxic,123,63,4.21,clonotype_E
Cell0177,D6,Treatment,Tumor,CD8_T,Naive_memory,138,76,5.67,unique_77764
Cell0178,D5,Treatment,Tumor,Monocyte,Other,157,67,3.63,
Cell0179,D4,Treatment,Tumor,Monocyte,Other,96,55,5.17,
Cell0180,D4,Treatment,Blood,B,Other,108,60,5.08,
Cell0181,D6,Treatment,Blood,Monocyte,Other,103,58,25.55,
Cell0182,D2,Control,Tumor,Monocyte,Other,180,85,4.12,
Cell0183,D3,Control,Tumor,CD8_T,Naive_memory,184,75,1.29,unique_24534
Cell0184,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,214,80,4.41,clonotype_A
Cell0185,D3,Control,Tumor,B,Other,79,53,5.63,
Cell0186,D2,Control,Tumor,NK,Cytotoxic,110,66,7.97,
Cell0187,D4,Treatment,Tumor,CD8_T,Cytotoxic,280,98,7.32,unique_23776
Cell0188,D2,Control,Tumor,CD4_T,Exhaustion_assoc,259,95,0.57,clonotype_A
Cell0189,D6,Treatment,Tumor,B,Other,242,85,4.68,
Cell0190,D6,Treatment,Tumor,CD8_T,Naive_memory,98,56,4.06,unique_34449
Cell0191,D2,Control,Blood,Monocyte,Other,76,52,2.19,
Cell0192,D4,Treatment,Tumor,CD4_T,Exhaustion_assoc,371,99,4.94,clonotype_D
Cell0193,D6,Treatment,Blood,CD4_T,Cytotoxic,179,73,3.42,clonotype_F
Cell0194,D5,Treatment,Blood,Monocyte,Other,112,58,6.38,
Cell0195,D2,Control,Tumor,CD4_T,Naive_memory,144,63,3.81,unique_67511
Cell0196,D4,Treatment,Blood,CD4_T,Naive_memory,174,66,2.3,clonotype_E
Cell0197,D4,Treatment,Blood,NK,Cytotoxic,129,57,4.75,
Cell0198,D4,Treatment,Tumor,Monocyte,Other,234,79,4.13,
Cell0199,D1,Control,Tumor,CD4_T,Exhaustion_assoc,144,51,3.06,clonotype_A
Cell0200,D2,Control,Blood,CD8_T,Naive_memory,235,84,3.35,unique_52668
Cell0201,D6,Treatment,Blood,B,Other,131,60,0.5,
Cell0202,D2,Control,Blood,Monocyte,Other,108,60,5.25,
Cell0203,D2,Control,Tumor,CD8_T,Cytotoxic,233,86,4.7,clonotype_B
Cell0204,D2,Control,Tumor,CD4_T,Cytotoxic,209,77,6.0,clonotype_A
Cell0205,D2,Control,Blood,CD4_T,Naive_memory,210,90,4.19,unique_36653
Cell0206,D1,Control,Tumor,CD4_T,Exhaustion_assoc,96,51,4.4,clonotype_A
Cell0207,D3,Control,Blood,CD4_T,Cytotoxic,170,72,7.74,clonotype_F
Cell0208,D6,Treatment,Blood,NK,Cytotoxic,120,57,6.97,
Cell0209,D1,Control,Tumor,CD4_T,Cytotoxic,173,71,4.9,unique_17438
Cell0210,D2,Control,Blood,CD8_T,Cytotoxic,458,102,4.01,unique_55257
Cell0211,D1,Control,Blood,B,Other,153,72,2.96,
Cell0212,D4,Treatment,Blood,NK,Cytotoxic,85,49,5.61,
Cell0213,D2,Control,Tumor,CD4_T,Naive_memory,167,71,3.68,unique_23181
Cell0214,D5,Treatment,Tumor,B,Other,103,60,5.09,
Cell0215,D4,Treatment,Tumor,B,Other,89,48,7.12,
Cell0216,D5,Treatment,Blood,B,Other,188,94,6.51,
Cell0217,D4,Treatment,Blood,CD4_T,Naive_memory,198,74,4.65,unique_18515
Cell0218,D3,Control,Tumor,CD4_T,Cytotoxic,189,71,25.23,unique_47962
Cell0219,D6,Treatment,Blood,Monocyte,Other,187,85,7.61,
Cell0220,D3,Control,Tumor,CD8_T,Exhaustion_assoc,262,96,2.16,clonotype_A
Cell0221,D6,Treatment,Tumor,CD8_T,Naive_memory,219,79,5.02,unique_63612
Cell0222,D6,Treatment,Blood,CD8_T,Naive_memory,172,74,7.22,clonotype_G
Cell0223,D4,Treatment,Tumor,NK,Cytotoxic,167,70,3.27,
Cell0224,D5,Treatment,Blood,Monocyte,Other,119,62,8.44,
Cell0225,D2,Control,Blood,CD8_T,Naive_memory,256,99,5.78,unique_93215
Cell0226,D5,Treatment,Tumor,Monocyte,Other,209,79,6.39,
Cell0227,D5,Treatment,Tumor,CD4_T,Exhaustion_assoc,168,74,6.05,unique_13179
Cell0228,D6,Treatment,Tumor,NK,Cytotoxic,278,97,6.05,
Cell0229,D2,Control,Tumor,NK,Cytotoxic,160,68,1.66,
Cell0230,D5,Treatment,Tumor,CD4_T,Naive_memory,149,69,6.78,unique_29616
Cell0231,D3,Control,Tumor,CD4_T,Cytotoxic,118,68,7.33,clonotype_B
Cell0232,D2,Control,Tumor,CD8_T,Exhaustion_assoc,139,75,3.74,unique_99421
Cell0233,D2,Control,Blood,Monocyte,Other,110,64,5.2,
Cell0234,D4,Treatment,Tumor,NK,Cytotoxic,205,74,6.85,
Cell0235,D2,Control,Tumor,Monocyte,Other,277,91,2.05,
Cell0236,D1,Control,Blood,B,Other,159,82,5.89,
Cell0237,D3,Control,Tumor,CD8_T,Cytotoxic,443,116,5.74,clonotype_C
Cell0238,D4,Treatment,Blood,B,Other,148,73,7.66,
Cell0239,D2,Control,Blood,CD4_T,Naive_memory,187,70,4.56,unique_33199
Cell0240,D6,Treatment,Tumor,CD4_T,Naive_memory,155,62,5.29,unique_44155
Cell0241,D5,Treatment,Blood,Monocyte,Other,151,77,7.49,
Cell0242,D4,Treatment,Tumor,B,Other,116,58,0.87,
Cell0243,D6,Treatment,Tumor,CD4_T,Cytotoxic,206,81,4.58,unique_84712
Cell0244,D3,Control,Tumor,CD8_T,Cytotoxic,148,65,5.86,unique_18191
Cell0245,D1,Control,Blood,NK,Cytotoxic,225,88,1.93,
Cell0246,D1,Control,Blood,Monocyte,Other,108,72,6.54,
Cell0247,D6,Treatment,Tumor,NK,Cytotoxic,103,61,13.7,
Cell0248,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,195,80,2.92,unique_87063
Cell0249,D5,Treatment,Tumor,CD8_T,Cytotoxic,200,82,4.01,clonotype_A
Cell0250,D1,Control,Tumor,CD8_T,Exhaustion_assoc,211,73,3.27,clonotype_A
Cell0251,D2,Control,Blood,NK,Cytotoxic,102,48,5.14,
Cell0252,D1,Control,Tumor,Monocyte,Other,76,45,3.32,
Cell0253,D1,Control,Blood,CD8_T,Exhaustion_assoc,216,85,3.93,unique_42257
Cell0254,D2,Control,Blood,CD4_T,Naive_memory,315,91,6.6,unique_34262
Cell0255,D4,Treatment,Tumor,CD4_T,Cytotoxic,169,71,1.3,unique_31674
Cell0256,D1,Control,Blood,B,Other,96,53,6.75,
Cell0257,D6,Treatment,Blood,Monocyte,Other,133,66,4.08,
Cell0258,D3,Control,Blood,CD4_T,Cytotoxic,116,56,5.14,unique_10233
Cell0259,D2,Control,Blood,CD4_T,Naive_memory,207,70,5.5,unique_11209
Cell0260,D4,Treatment,Tumor,NK,Cytotoxic,137,67,5.97,
Cell0261,D5,Treatment,Blood,CD4_T,Cytotoxic,178,65,5.77,unique_63149
Cell0262,D2,Control,Tumor,Monocyte,Other,85,49,25.19,
Cell0263,D1,Control,Tumor,CD8_T,Exhaustion_assoc,159,72,28.27,unique_40210
Cell0264,D1,Control,Blood,CD4_T,Naive_memory,184,63,6.59,unique_28871
Cell0265,D6,Treatment,Blood,Monocyte,Other,133,65,6.51,
Cell0266,D1,Control,Tumor,CD4_T,Cytotoxic,261,90,5.32,clonotype_A
Cell0267,D4,Treatment,Tumor,CD8_T,Naive_memory,141,70,2.99,unique_58379
Cell0268,D3,Control,Tumor,CD4_T,Naive_memory,183,66,3.19,clonotype_F
Cell0269,D5,Treatment,Tumor,CD4_T,Cytotoxic,200,78,2.27,unique_37507
Cell0270,D1,Control,Blood,CD4_T,Naive_memory,336,94,6.07,unique_39036
Cell0271,D6,Treatment,Blood,CD4_T,Cytotoxic,211,84,5.85,unique_56906
Cell0272,D5,Treatment,Tumor,CD4_T,Exhaustion_assoc,141,62,4.3,clonotype_B
Cell0273,D3,Control,Blood,CD4_T,Cytotoxic,261,80,4.94,unique_33867
Cell0274,D2,Control,Tumor,NK,Cytotoxic,100,52,0.5,
Cell0275,D6,Treatment,Tumor,NK,Cytotoxic,230,79,1.75,
Cell0276,D2,Control,Tumor,CD8_T,Cytotoxic,367,102,2.12,unique_65021
Cell0277,D3,Control,Tumor,CD8_T,Cytotoxic,108,63,6.8,unique_43417
Cell0278,D3,Control,Blood,CD8_T,Naive_memory,222,95,4.68,unique_27534
Cell0279,D2,Control,Blood,Monocyte,Other,103,59,4.17,
Cell0280,D3,Control,Blood,Monocyte,Other,139,66,3.67,
Cell0281,D1,Control,Tumor,CD4_T,Naive_memory,222,84,5.44,unique_20386
Cell0282,D1,Control,Blood,CD4_T,Exhaustion_assoc,213,82,4.46,unique_81087
Cell0283,D2,Control,Blood,CD4_T,Naive_memory,171,62,6.07,unique_76352
Cell0284,D1,Control,Blood,CD4_T,Naive_memory,112,60,5.47,unique_66601
Cell0285,D3,Control,Blood,NK,Cytotoxic,231,85,3.97,
Cell0286,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,223,86,3.85,unique_54925
Cell0287,D1,Control,Blood,CD4_T,Naive_memory,216,79,4.76,clonotype_F
Cell0288,D1,Control,Tumor,CD8_T,Naive_memory,171,74,8.32,unique_84907
Cell0289,D1,Control,Blood,CD8_T,Naive_memory,132,61,1.93,unique_41189
Cell0290,D4,Treatment,Tumor,CD4_T,Cytotoxic,140,56,6.2,clonotype_A
Cell0291,D2,Control,Blood,Monocyte,Other,146,70,28.18,
Cell0292,D3,Control,Blood,CD4_T,Cytotoxic,183,81,5.96,unique_48236
Cell0293,D1,Control,Tumor,Monocyte,Other,145,69,6.03,
Cell0294,D2,Control,Tumor,CD4_T,Naive_memory,144,62,1.35,unique_97619
Cell0295,D3,Control,Tumor,Monocyte,Other,125,54,5.31,
Cell0296,D3,Control,Blood,Monocyte,Other,179,79,4.02,
Cell0297,D4,Treatment,Blood,Monocyte,Other,154,68,5.31,
Cell0298,D5,Treatment,Tumor,B,Other,90,49,6.03,
Cell0299,D3,Control,Blood,B,Other,86,55,9.58,
Cell0300,D6,Treatment,Tumor,NK,Cytotoxic,141,60,5.21,
Cell0301,D4,Treatment,Tumor,B,Other,164,79,7.65,
Cell0302,D2,Control,Tumor,CD4_T,Exhaustion_assoc,176,73,2.62,clonotype_B
Cell0303,D2,Control,Tumor,CD8_T,Exhaustion_assoc,190,74,7.8,clonotype_C
Cell0304,D2,Control,Tumor,CD8_T,Exhaustion_assoc,241,77,6.16,clonotype_A
Cell0305,D4,Treatment,Blood,Monocyte,Other,164,72,7.64,
Cell0306,D2,Control,Blood,CD8_T,Naive_memory,300,102,2.83,unique_25998
Cell0307,D6,Treatment,Tumor,CD8_T,Naive_memory,193,81,6.82,unique_20083
Cell0308,D3,Control,Tumor,NK,Cytotoxic,187,66,2.57,
Cell0309,D6,Treatment,Blood,CD8_T,Cytotoxic,184,76,4.48,unique_77825
Cell0310,D5,Treatment,Blood,CD4_T,Naive_memory,138,68,6.99,unique_79775
Cell0311,D3,Control,Tumor,CD8_T,Cytotoxic,373,118,3.51,clonotype_A
Cell0312,D2,Control,Tumor,CD8_T,Exhaustion_assoc,160,71,2.97,clonotype_F
Cell0313,D5,Treatment,Tumor,CD4_T,Naive_memory,194,72,1.02,unique_57973
Cell0314,D2,Control,Blood,CD8_T,Cytotoxic,352,99,4.83,clonotype_F
Cell0315,D2,Control,Blood,CD8_T,Exhaustion_assoc,127,56,5.31,unique_36291
Cell0316,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,136,60,4.47,clonotype_A
Cell0317,D3,Control,Blood,CD8_T,Naive_memory,85,52,4.75,unique_59731
Cell0318,D1,Control,Tumor,NK,Cytotoxic,150,60,5.8,
Cell0319,D3,Control,Tumor,CD8_T,Exhaustion_assoc,425,110,3.36,clonotype_A
Cell0320,D3,Control,Blood,Monocyte,Other,182,75,6.03,
Cell0321,D6,Treatment,Blood,Monocyte,Other,100,56,5.75,
Cell0322,D5,Treatment,Blood,CD8_T,Naive_memory,197,88,4.15,unique_35712
Cell0323,D2,Control,Tumor,CD8_T,Exhaustion_assoc,147,64,3.35,clonotype_B
Cell0324,D1,Control,Tumor,CD8_T,Exhaustion_assoc,227,73,7.06,unique_79887
Cell0325,D4,Treatment,Blood,Monocyte,Other,83,50,5.14,
Cell0326,D1,Control,Tumor,NK,Cytotoxic,149,60,5.26,
Cell0327,D2,Control,Tumor,B,Other,184,82,5.24,
Cell0328,D1,Control,Tumor,CD8_T,Exhaustion_assoc,211,76,5.65,clonotype_G
Cell0329,D1,Control,Tumor,NK,Cytotoxic,160,66,4.28,
Cell0330,D6,Treatment,Blood,CD8_T,Naive_memory,321,102,7.36,unique_98375
Cell0331,D1,Control,Blood,B,Other,221,95,6.24,
Cell0332,D1,Control,Tumor,CD4_T,Naive_memory,307,100,5.36,clonotype_F
Cell0333,D6,Treatment,Blood,B,Other,103,56,1.44,
Cell0334,D2,Control,Tumor,Monocyte,Other,118,51,3.69,
Cell0335,D5,Treatment,Blood,CD4_T,Naive_memory,149,61,4.22,unique_95571
Cell0336,D1,Control,Blood,NK,Cytotoxic,137,65,5.64,
